0.4082,0.23533,0.01
0.01,0.01,0.01302
1.4427,0.24421,0.14948
0.39552,6.6701,6.6087
0.05883,0.02601,0.10413
0.021115,0.52861,0.01
0.45509,8.8363,0.66924
0.01954,0.29564,0.26734
0.020978,0.11061,0.017971
0.34731,9.9999,8.0213
0.22459,0.35114,1.2481
0.66806,0.090536,8.3653
0.01,0.013987,0.10905
0.26787,6.6819,0.41312
0.39777,10,6.6643
0.36927,0.010052,0.20859
0.010063,0.85524,1.0047
0.016775,0.010001,0.035245
0.89747,0.010354,2.8725
0.010001,0.01,9.9997
0.01,0.019746,0.062611
0.01,0.01,0.2544
0.25598,0.51871,0.27007
0.01,0.01,0.088607
0.018691,0.010001,0.01
0.36387,0.16537,0.069378
0.010323,0.010134,0.010006
0.012643,0.047122,1.2407
0.91024,6.4755,3.8589
0.01,0.01,0.02415
1.1965,0.010102,0.98871
6.697,6.7132,6.6481
0.010033,0.01001,0.24646
0.051499,0.15646,0.27475
0.015003,0.1085,0.094012
0.62133,4.301,0.52613
0.050822,0.023802,0.01
0.01,0.013979,0.01
0.019722,0.11047,0.016038
0.13978,0.41963,0.80173
0.56774,0.18869,0.15403
0.14133,0.020959,0.010325
0.013302,0.01,0.058901
0.052947,0.017618,0.024455
0.010028,1.9751,7.6811
0.25034,0.24921,1.5418
0.010032,0.010357,1.0027
0.13175,0.33665,0.26467
0.015832,0.11179,0.01
0.052818,0.10462,0.021263
